Sample_ID,Year,Latitude,Longitude,Location,Group,Family,Genus,Species,Genotype,Geno_Fluorescence_Brazil,Geno_Fluorescence_GPL,Genotyped,Bd_Loads,Bd_Load_Log,Bd_status
TSEC1062,2022,-0.077757,-80.150093,Lalo Loor,Anura,Strabomantidae,Pristimantis,achatinus,,1.031498166,0.996000488,0,0,0,0
TSEC1063,2022,-0.077757,-80.150093,Lalo Loor,Anura,Strabomantidae,Pristimantis,achatinus,,1.023612348,0.989738817,0,0,0,0
TSEC1064,2022,-0.077757,-80.150093,Lalo Loor,Anura,Strabomantidae,Pristimantis,achatinus,,1.047953185,1.016000859,0,0,0,0
TSEC1065,2022,-0.077757,-80.150093,Lalo Loor,Anura,Strabomantidae,Pristimantis,achatinus,,1.037794824,1.002259309,0,0,0,0
TSEC1066,2022,-0.077757,-80.150093,Lalo Loor,Anura,Strabomantidae,Pristimantis,achatinus,,1.035131117,1.004273928,0,0,0,0
TSEC1067,2022,-0.077757,-80.150093,Lalo Loor,Anura,Strabomantidae,Pristimantis,achatinus,,1.02241058,1.004317753,0,0,0,0
TSEC1068,2022,-0.077757,-80.150093,Lalo Loor,Anura,Strabomantidae,Pristimantis,achatinus,,1.027003523,1.000088189,0,0,0,0
TSEC1069,2022,-0.077757,-80.150093,Lalo Loor,Anura,Strabomantidae,Pristimantis,achatinus,,1.031438607,1.008326795,0,0,0,0
TSEC1071,2022,-0.077757,-80.150093,Lalo Loor,Anura,Bufonidae,Rhinella,marina,,1.016903387,0.985452073,0,0,0,0
TSEC1074,2022,-0.077757,-80.150093,Lalo Loor,Anura,Strabomantidae,Pristimantis,achatinus,,1.031980704,1.002456967,0,0,0,0
TSEC1075,2022,-0.077757,-80.150093,Lalo Loor,Anura,Strabomantidae,Barycholos,pulcher,,1.028209527,0.994419938,0,0,0,0
TSEC1076,2022,-0.077757,-80.150093,Lalo Loor,Anura,Strabomantidae,Pristimantis,achatinus,,1.033212591,1.010822473,0,0,0,0
TSEC1077,2022,-0.077757,-80.150093,Lalo Loor,Anura,Hylidae,Trachycephalus,sp,,1.033380026,1.004070162,0,480.4,2.682506086,1
TSEC1079,2022,-0.077757,-80.150093,Lalo Loor,Anura,Strabomantidae,Pristimantis,achatinus,,1.00800207,0.980420891,0,0,0,0
TSEC1080,2022,-0.077757,-80.150093,Lalo Loor,Anura,Strabomantidae,Pristimantis,achatinus,,1.024438232,0.985706569,0,0,0,0
TSEC1081,2022,-0.077757,-80.150093,Lalo Loor,Anura,Strabomantidae,Pristimantis,achatinus,,1.041635757,0.994661126,0,4234,3.626853415,1
TSEC1082,2022,-0.077757,-80.150093,Lalo Loor,Anura,Strabomantidae,Pristimantis,achatinus,,1.039942113,1.005324199,0,0,0,0
TSEC1083,2022,-0.077757,-80.150093,Lalo Loor,Anura,Strabomantidae,Pristimantis,achatinus,,1.041737979,1.018835795,0,0,0,0
TSEC1084,2022,-0.077757,-80.150093,Lalo Loor,Anura,Strabomantidae,Pristimantis,achatinus,,1.011412335,0.976253841,0,304.7,2.485295439,1
TSEC1085,2022,-0.077757,-80.150093,Lalo Loor,Anura,Strabomantidae,Pristimantis,achatinus,,1.014195291,0.97703665,0,0,0,0
TSEC1086,2022,-0.077757,-80.150093,Lalo Loor,Anura,Strabomantidae,Pristimantis,achatinus,,1.01182038,0.982573013,0,0,0,0
TSEC1087,2022,-0.077757,-80.150093,Lalo Loor,Anura,Strabomantidae,Pristimantis,achatinus,,1.013367461,0.963708488,0,316.5,2.50174373,1
TSEC1090,2022,-0.077757,-80.150093,Lalo Loor,Anura,Hylidae,Trachycephalus,jordani,,1.021576026,0.973695167,0,0,0,0
TSEC1097,2022,-0.116799,-80.122493,JCR,Anura,Strabomantidae,Pristimantis,achatinus,,1.018131472,0.987078867,0,0,0,0
TSEC1098,2022,-0.116799,-80.122493,JCR,Anura,Strabomantidae,Pristimantis,achatinus,,1.023179941,0.980439088,0,0,0,0
TSEC1099,2022,-0.116799,-80.122493,JCR,Anura,Strabomantidae,Pristimantis,sp,,1.050784478,1.059072198,0,0,0,0
TSEC1100,2022,-0.116799,-80.122493,JCR,Anura,Strabomantidae,Pristimantis,achatinus,BdGPL,1.1914185,4.055153883,1,1906,3.280350693,1
TSEC1101,2022,-0.116799,-80.122493,JCR,Anura,Strabomantidae,Pristimantis,walkeri,,1.032122697,0.987061821,0,0,0,0
TSEC1102,2022,-0.116799,-80.122493,JCR,Anura,Strabomantidae,Pristimantis,achatinus,,1.029100859,0.977569127,0,1153,3.062205809,1
TSEC1103,2022,-0.116799,-80.122493,JCR,Anura,Strabomantidae,Pristimantis,achatinus,,1.008633755,0.974930214,0,0,0,0
TSEC1104,2022,-0.116799,-80.122493,JCR,Anura,Strabomantidae,Pristimantis,achatinus,,1.022371906,0.986681184,0,0,0,0
TSEC1105,2022,-0.116799,-80.122493,JCR,Anura,Strabomantidae,Pristimantis,achatinus,,1.020734207,0.986862743,0,0,0,0
TSEC1106,2022,-0.116799,-80.122493,JCR,Anura,Strabomantidae,Pristimantis,sp,,1.023207779,0.985926881,0,151.3,2.182699903,1
TSEC1107,2022,-0.116799,-80.122493,JCR,Anura,Strabomantidae,Pristimantis,achatinus,BdGPL,1.162749012,3.983425655,1,1774,3.249198357,1
TSEC1108,2022,-0.116799,-80.122493,JCR,Anura,Strabomantidae,Pristimantis,achatinus,,1.016566893,0.976143431,0,0,0,0
TSEC1110,2022,-0.116799,-80.122493,JCR,Anura,Strabomantidae,Pristimantis,achatinus,,1.022472067,0.985976865,0,7.372,0.92282922,1
TSEC1111,2022,-0.116799,-80.122493,JCR,Anura,Strabomantidae,Pristimantis,achatinus,,1.087937193,1.010600935,0,0,0,0
TSEC1269,2022,-0.080402,-78.829204,Saloya,Anura,Strabomantidae,Pristimantis,achatinus,,1.023242736,0.994378384,0,0,0,0
TSEC1270,2022,-0.080402,-78.829204,Saloya,Anura,Strabomantidae,Pristimantis,achatinus,,1.025731835,0.986708061,0,26.85,1.4448252,1
TSEC1271,2022,-0.080402,-78.829204,Saloya,Anura,Strabomantidae,Pristimantis,achatinus,,1.020796298,0.979344418,0,0,0,0
TSEC1272,2022,-0.080402,-78.829204,Saloya,Anura,Strabomantidae,Pristimantis,achatinus,,1.018408155,0.985180049,0,2008,3.302979937,1
TSEC1273,2022,-0.080402,-78.829204,Saloya,Anura,Strabomantidae,Pristimantis,sp,BdGPL,1.076543909,2.484936834,1,177.2,2.2509077,1
TSEC1274,2022,-0.080402,-78.829204,Saloya,Anura,Strabomantidae,Pristimantis,achatinus,,1.015034337,0.974866101,0,0,0,0
TSEC1275,2022,-0.080402,-78.829204,Saloya,Anura,Strabomantidae,Pristimantis,achatinus,,1.033782895,0.98602314,0,0,0,0
TSEC1276,2022,-0.080402,-78.829204,Saloya,Anura,Strabomantidae,Pristimantis,achatinus,,1.04810116,0.990139617,0,0,0,0
TSEC1277,2022,-0.080402,-78.829204,Saloya,Anura,Strabomantidae,Pristimantis,achatinus,BdGPL,1.15993514,3.709983807,1,2136,3.329804522,1
